,id,model,grid_num,reward,best_reward
771,23,pressure,12,-2,-1
772,23,pressure,13,0,1
773,23,pressure,14,-1,-1
774,23,pressure,15,1,1
775,23,pressure,16,2,2
776,23,pressure,17,1,1
777,23,pressure,18,-1,-1
778,23,pressure,19,1,1
779,23,pressure,20,1,1
780,23,pressure,21,0,0
781,23,pressure,22,0,0
782,23,pressure,23,1,1
783,23,pressure,24,-2,0
784,23,pressure,25,-1,0
785,23,pressure,26,2,2
786,23,pressure,27,-1,-1
787,23,pressure,28,2,2
788,23,pressure,29,0,0
789,23,pressure,30,0,0
790,23,pressure,31,0,0
791,23,pressure,32,0,0
792,24,pressure,0,-1,-1
793,24,pressure,1,0,1
794,24,pressure,2,0,0
795,24,pressure,3,-2,1
796,24,pressure,4,2,2
797,24,pressure,5,2,2
798,24,pressure,6,-1,-1
799,24,pressure,7,-2,-2
800,24,pressure,8,2,2
801,24,pressure,9,0,0
802,24,pressure,10,-1,-1
803,24,pressure,11,2,2
804,24,pressure,12,-2,-1
805,24,pressure,13,1,1
806,24,pressure,14,-2,-1
807,24,pressure,15,1,1
808,24,pressure,16,2,2
809,24,pressure,17,0,1
810,24,pressure,18,-1,-1
811,24,pressure,19,1,1
812,24,pressure,20,1,1
813,24,pressure,21,0,0
814,24,pressure,22,0,0
815,24,pressure,23,1,1
816,24,pressure,24,0,0
817,24,pressure,25,-1,0
818,24,pressure,26,2,2
819,24,pressure,27,-1,-1
820,24,pressure,28,2,2
821,24,pressure,29,0,0
822,24,pressure,30,0,0
823,24,pressure,31,0,0
824,24,pressure,32,0,0
825,25,pressure,0,-1,-1
826,25,pressure,1,0,1
827,25,pressure,2,0,0
828,25,pressure,3,-2,1
829,25,pressure,4,2,2
830,25,pressure,5,2,2
831,25,pressure,6,-1,-1
832,25,pressure,7,-2,-2
833,25,pressure,8,2,2
834,25,pressure,9,0,0
835,25,pressure,10,-1,-1
836,25,pressure,11,2,2
837,25,pressure,12,-2,-1
838,25,pressure,13,1,1
839,25,pressure,14,-1,-1
840,25,pressure,15,-1,1
841,25,pressure,16,2,2
842,25,pressure,17,0,1
843,25,pressure,18,-1,-1
844,25,pressure,19,1,1
845,25,pressure,20,1,1
846,25,pressure,21,0,0
847,25,pressure,22,0,0
848,25,pressure,23,1,1
849,25,pressure,24,0,0
850,25,pressure,25,-1,0
851,25,pressure,26,2,2
852,25,pressure,27,-1,-1
853,25,pressure,28,2,2
854,25,pressure,29,0,0
855,25,pressure,30,0,0
856,25,pressure,31,0,0
857,25,pressure,32,0,0
858,26,pressure,0,-1,-1
859,26,pressure,1,0,1
860,26,pressure,2,0,0
861,26,pressure,3,-2,1
862,26,pressure,4,2,2
863,26,pressure,5,2,2
864,26,pressure,6,-1,-1
865,26,pressure,7,-2,-2
866,26,pressure,8,2,2
867,26,pressure,9,0,0
868,26,pressure,10,-1,-1
869,26,pressure,11,2,2
870,26,pressure,12,-2,-1
871,26,pressure,13,1,1
872,26,pressure,14,-1,-1
873,26,pressure,15,1,1
874,26,pressure,16,2,2
875,26,pressure,17,1,1
876,26,pressure,18,-1,-1
877,26,pressure,19,1,1
878,26,pressure,20,1,1
879,26,pressure,21,0,0
880,26,pressure,22,0,0
881,26,pressure,23,1,1
882,26,pressure,24,0,0
883,26,pressure,25,-1,0
884,26,pressure,26,2,2
885,26,pressure,27,-1,-1
886,26,pressure,28,2,2
887,26,pressure,29,0,0
888,26,pressure,30,0,0
889,26,pressure,31,0,0
890,26,pressure,32,0,0
891,27,pressure,0,-2,-1
